domain,severity,public_comment,private_comment
poast.org,suspend,No-QAnon blocklist,No-QAnon blocklist
poast.tv,suspend,No-QAnon blocklist,No-QAnon blocklist
political.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
posting.lolicon.rocks,suspend,No-QAnon blocklist,No-QAnon blocklist
qoto.org,suspend,No-QAnon blocklist,No-QAnon blocklist
rage.lol,suspend,No-QAnon blocklist,No-QAnon blocklist
rayn.bo,suspend,No-QAnon blocklist,No-QAnon blocklist
runtube.re,suspend,No-QAnon blocklist,No-QAnon blocklist
sect.sunbutt.faith,suspend,No-QAnon blocklist,No-QAnon blocklist
serv1.wiki-tube.de,suspend,No-QAnon blocklist,No-QAnon blocklist
serv2.wiki-tube.de,suspend,No-QAnon blocklist,No-QAnon blocklist
serv3.wiki-tube.de,suspend,No-QAnon blocklist,No-QAnon blocklist
shitposter.club,suspend,No-QAnon blocklist,No-QAnon blocklist
soap.sect.sunbutt.faith,suspend,No-QAnon blocklist,No-QAnon blocklist
social.adamasnemesis.com,suspend,No-QAnon blocklist,No-QAnon blocklist
social.ancreport.com,suspend,No-QAnon blocklist,No-QAnon blocklist
social.berzs.xyz,suspend,No-QAnon blocklist,No-QAnon blocklist
social.freetalklive.com,suspend,No-QAnon blocklist,No-QAnon blocklist
social.handholding.io,suspend,No-QAnon blocklist,No-QAnon blocklist
social.hendrixgames.com,suspend,No-QAnon blocklist,No-QAnon blocklist
social.kyushojitsu.ca,suspend,No-QAnon blocklist,No-QAnon blocklist
social.quodverum.com,suspend,No-QAnon blocklist,No-QAnon blocklist
social.teci.world,suspend,No-QAnon blocklist,No-QAnon blocklist
socnet.supes.com,suspend,No-QAnon blocklist,No-QAnon blocklist
spinster.xyz,suspend,No-QAnon blocklist,No-QAnon blocklist
swampfoxden.com,suspend,No-QAnon blocklist,No-QAnon blocklist
tcode.kenfm.de,suspend,No-QAnon blocklist,No-QAnon blocklist
thebag.social,suspend,No-QAnon blocklist,No-QAnon blocklist
thecitizen.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
theduran.icu,suspend,No-QAnon blocklist,No-QAnon blocklist
tmediatech.io,suspend,No-QAnon blocklist,No-QAnon blocklist
troo.tube,suspend,No-QAnon blocklist,No-QAnon blocklist
tube.apolut.net,suspend,No-QAnon blocklist,No-QAnon blocklist
tube.kenfm.de,suspend,No-QAnon blocklist,No-QAnon blocklist
tube.querdenken-711.de,suspend,No-QAnon blocklist,No-QAnon blocklist
tube2.apolut.net,suspend,No-QAnon blocklist,No-QAnon blocklist
tube4.apolut.net,suspend,No-QAnon blocklist,No-QAnon blocklist
tv.mattchristiansenmedia.com,suspend,No-QAnon blocklist,No-QAnon blocklist
tv.poa.st,suspend,No-QAnon blocklist,No-QAnon blocklist
udongein.xyz,suspend,No-QAnon blocklist,No-QAnon blocklist
